DataCadastro;DataConclusaoCadastro;NomeEscola;INEP;UFEscola;MunicipioEscola;IDEscola;IDProfessor
/Date(1756908086683)/;/Date(1757009576817)/;EM BELMIRO BATISTA MIRANDA;31255009;Minas Gerais;Frutal;2672;6225
/Date(1754047164880)/;/Date(1758276687380)/;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL PROFESSORA MARIA ANTONIETA CARNEIRO DE MELLO;31062065;Minas Gerais;Itajubá;11;7459
/Date(1754327679273)/;/Date(1756926573100)/;COLEGIO ALPHA;31357154;Minas Gerais;Sete Lagoas;285;7470
/Date(1754052515300)/;/Date(1755111912643)/;EM PROFESSORA LUIZA MARIA DE SOUZA;31010154;Minas Gerais;Ribeirão das Neves;26;7472
/Date(1754066882357)/;/Date(1757864859643)/;E M ANA CANDIDA DE JESUS;31354244;Minas Gerais;Betim;68;7504
/Date(1754247727167)/;/Date(1758802409240)/;PILAR INSTITUTO DE EDUCACAO;31269549;Minas Gerais;Ipatinga;159;7592
/Date(1754928620327)/;/Date(1758838097380)/;EM JOSE CANDIDO FERREIRA;31136158;Minas Gerais;Santo Antônio do Amparo;826;7674
/Date(1755714463023)/;/Date(1755799937730)/;EM JOSE BARBOSA DE OLIVEIRA;31315141;Minas Gerais;Catuti;1559;7697
/Date(1754319273033)/;/Date(1758123114680)/;ESCOLA MUNICIPAL PAULO CEZAR HASTENREITER PORTES;31295221;Minas Gerais;Lajinha;260;7699
/Date(1756728901117)/;/Date(1756747706617)/;INSTITUTO MENINADA CRESCER;31359831;Minas Gerais;Matozinhos;2467;7727
/Date(1754348093530)/;/Date(1754348346417)/;ESCOLA DE EDUCACAO BASICA E PROFISSIONAL PROFESSORA MARIA ANTONIETA CARNEIRO DE MELLO;31062065;Minas Gerais;Itajubá;337;7740
/Date(1754395347827)/;/Date(1757612722410)/;EE QUEROBINO MARQUES DE OLIVEIRA;31020494;Minas Gerais;Inhapim;380;7773
/Date(1754402115590)/;/Date(1756923274550)/;EE ZOE MACHADO;31062847;Minas Gerais;Jaíba;402;7787
/Date(1754405434477)/;/Date(1757592051917)/;ESCOLA SESI BENJAMIN GUIMARAES;31014231;Minas Gerais;Contagem;409;7793
/Date(1754414661143)/;/Date(1756480219330)/;EE ORLANDO ALVES PEREIRA;31020753;Minas Gerais;Taparuba;423;7802
/Date(1754436897077)/;/Date(1755256874127)/;COLEGIO ATENAS PASSOS;31223883;Minas Gerais;Passos;454;7842
/Date(1754445948633)/;/Date(1756051388453)/;ESCOLA MUNICIPAL MACHADO DE ASSIS DE EDUCACAO INFANTIL ENSINO FUNDAMENTAL E ENSINO MEDIO;31197980;Minas Gerais;Ituiutaba;466;7888
/Date(1754493297353)/;/Date(1755192051860)/;EE ANTONIO CARLOS;31054810;Minas Gerais;Conceição das Pedras;519;7957
/Date(1754508950420)/;/Date(1758749767700)/;EE VENCESLAU BRAS;31081230;Minas Gerais;Jaíba;552;8011
/Date(1755194689347)/;/Date(1755633222980)/;EE VENCESLAU BRAS;31081230;Minas Gerais;Jaíba;1108;8068
/Date(1754598298883)/;/Date(1758806685013)/;COLEGIO DONA CLARA - UNIDADE 2;31379832;Minas Gerais;Belo Horizonte;635;8170
